"λ,n (nm)", D, PAS
412,0.435026259,0.794629069
413,0.423925152,0.805196616
414,0.425889237,0.815764163
415,0.447644583,0.82633171
416,0.468034566,0.836899257
417,0.463341515,0.847466803
418,0.449807732,0.85803435
419,0.475083621,0.868601897
420,0.441660915,0.879169444
421,0.508123511,0.88841938
422,0.507613771,0.897669316
423,0.497757883,0.906919251
424,0.501251606,0.916169187
425,0.523049178,0.925419123
426,0.514551094,0.934669059
427,0.503220676,0.943918995
428,0.514338916,0.953168931
429,0.482021972,0.962418867
430,0.389130483,0.971668803
431,0.354112391,0.971871828
432,0.590633445,0.972074853
433,0.550915918,0.972277877
434,0.510227458,0.972480902
435,0.561082795,0.972683927
436,0.617021895,0.972886952
437,0.63142909,0.973089977
438,0.555590512,0.973293002
439,0.535899872,0.973496027
440,0.615902518,0.973699052
441,0.602623356,0.963829787
442,0.639886386,0.953960523
443,0.643740632,0.944091259
444,0.622146067,0.934221994
445,0.640398064,0.92435273
446,0.569344289,0.914483466
447,0.641770348,0.904614201
448,0.643787802,0.894744937
449,0.636584068,0.884875673
450,0.653951601,0.875006409
451,0.672031243,0.865136119
452,0.637384421,0.855265829
453,0.583086231,0.84539554
454,0.619487296,0.83552525
455,0.609075584,0.82565496
456,0.622926084,0.815784671
457,0.621838432,0.805914381
458,0.602362259,0.796044091
459,0.5914639,0.786173802
460,0.581506718,0.776303512
461,0.600819172,0.773237631
462,0.605344313,0.770171751
463,0.606357634,0.76710587
464,0.586849012,0.76403999
465,0.578442478,0.760974109
466,0.5895009,0.757908229
467,0.562093714,0.754842348
468,0.585217462,0.751776468
469,0.586432853,0.748710587
470,0.562693633,0.745644706
471,0.572852219,0.744942322
472,0.6032716,0.744239938
473,0.580493042,0.743537554
474,0.587621568,0.74283517
475,0.607603047,0.742132786
476,0.587481559,0.741430402
477,0.59165795,0.740728018
478,0.611399782,0.740025634
479,0.600254278,0.73932325
480,0.61094237,0.738620866
481,0.612537554,0.739192002
482,0.61652623,0.739763138
483,0.610741564,0.740334273
484,0.600867732,0.740905409
485,0.600620018,0.741476544
486,0.488355326,0.74204768
487,0.548480408,0.742618816
488,0.59530217,0.743189951
489,0.562349556,0.743761087
490,0.630166243,0.744332223
491,0.607994099,0.745590361
492,0.58184732,0.7468485
493,0.624629822,0.748106639
494,0.612046251,0.749364778
495,0.652307358,0.750622917
496,0.622586152,0.751881056
497,0.635570338,0.753139195
498,0.620506245,0.754397334
499,0.622709902,0.755655473
500,0.622739156,0.756913612
501,0.605385777,0.757545245
502,0.60661358,0.758176878
503,0.636256359,0.758808511
504,0.594594311,0.759440144
505,0.639114632,0.760071776
506,0.666699875,0.760703409
507,0.639628995,0.761335042
508,0.625137942,0.761966675
509,0.656985684,0.762598308
510,0.641741321,0.763229941
511,0.652916406,0.760845937
512,0.669392144,0.758461933
513,0.628105863,0.756077929
514,0.61410039,0.753693925
515,0.631028758,0.751309921
516,0.636050935,0.748925916
517,0.517643119,0.746541912
518,0.591259792,0.744157908
519,0.572215061,0.741773904
520,0.623851609,0.7393899
521,0.629379308,0.739171494
522,0.644533381,0.738953089
523,0.608500768,0.738734683
524,0.655483302,0.738516278
525,0.651420272,0.738297872
526,0.634273799,0.738079467
527,0.555606619,0.737861061
528,0.636973025,0.737642656
529,0.667657196,0.73742425
530,0.642711258,0.737205845
531,0.68104574,0.73921251
532,0.671833598,0.741219175
533,0.602685055,0.74322584
534,0.64851017,0.745232504
535,0.661395744,0.747239169
536,0.692814045,0.749245834
537,0.643973373,0.751252499
538,0.679226105,0.753259164
539,0.665565544,0.755265829
540,0.645618848,0.757272494
541,0.624148477,0.760172264
542,0.683192772,0.763072033
543,0.675757889,0.765971802
544,0.703444233,0.768871571
545,0.691402324,0.771771341
546,0.688786571,0.77467111
547,0.701647076,0.777570879
548,0.685462433,0.780470649
549,0.710839402,0.783370418
550,0.70919778,0.786270187
551,0.713279234,0.790231223
552,0.732864492,0.794192258
553,0.716840285,0.798153294
554,0.735852341,0.80211433
555,0.744872407,0.806075365
556,0.737025937,0.810036401
557,0.723707713,0.813997437
558,0.744189413,0.817958472
559,0.708663479,0.821919508
560,0.726012506,0.825880543
561,0.773193334,0.829841579
562,0.740935968,0.833802615
563,0.773964326,0.83776365
564,0.763734671,0.841724686
565,0.773524641,0.845685722
566,0.736164871,0.849646757
567,0.789669943,0.853607793
568,0.787471127,0.857568829
569,0.77302613,0.861529864
570,0.778418703,0.8654909
571,0.757314305,0.869000769
572,0.804390805,0.872510638
573,0.812460859,0.876020508
574,0.812891344,0.879530377
575,0.799062809,0.883040246
576,0.796944452,0.886550115
577,0.821673152,0.890059985
578,0.80087378,0.893569854
579,0.817028946,0.897079723
580,0.835550589,0.900589592
581,0.843347071,0.903277108
582,0.8602855,0.905964624
583,0.873291663,0.90865214
584,0.87561967,0.911339656
585,0.872644236,0.914027173
586,0.855479057,0.916714689
587,0.878305825,0.919402205
588,0.862335668,0.922089721
589,0.747968277,0.924777237
590,0.798916369,0.927464753
591,0.858388032,0.930151243
592,0.844208069,0.932837734
593,0.86030127,0.935524225
594,0.860071944,0.938210715
595,0.853074496,0.940897206
596,0.883124127,0.943583696
597,0.88971295,0.946270187
598,0.882792893,0.948956678
599,0.886712562,0.951643168
600,0.899666036,0.954329659
601,0.892613117,0.956555755
602,0.882716572,0.958781851
603,0.90499903,0.961007947
604,0.924525565,0.963234043
605,0.926579513,0.965460138
606,0.925691009,0.967686234
607,0.934934022,0.96991233
608,0.935538029,0.972138426
609,0.932081335,0.974364522
610,0.931747482,0.976590618
611,0.93014674,0.978313253
612,0.947364915,0.980035888
613,0.937119383,0.981758523
614,0.911675073,0.983481159
615,0.948381955,0.985203794
616,0.926525931,0.986926429
617,0.917825365,0.988649064
618,0.955856754,0.9903717
619,0.96358219,0.992094335
620,0.967208552,0.99381697
621,0.973213491,0.994126634
622,0.939969037,0.994436298
623,0.934909396,0.994745963
624,0.933593196,0.995055627
625,0.929285269,0.995365291
626,0.930131967,0.995674955
627,0.958846259,0.995984619
628,0.908294056,0.996294284
629,0.942272176,0.996603948
630,0.931353705,0.996913612
631,0.949004849,0.997222251
632,0.91568477,0.99753089
633,0.975947163,0.997839528
634,0.962693173,0.998148167
635,0.976260837,0.998456806
636,0.955773684,0.998765445
637,0.990244213,0.999074084
638,0.998692683,0.999382722
639,0.99641595,0.999691361
640,0.977425144,1
641,0.979370117,0.999868752
642,0.982683779,0.999737503
643,0.994286115,0.999606255
644,0.991382164,0.999475006
645,1,0.999343758
646,0.972749093,0.99921251
647,0.96972102,0.999081261
648,0.961854369,0.998950013
649,0.933315773,0.998818764
650,0.939817105,0.998687516
651,0.999774483,0.998131761
