"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Reference text,Details
810,2.0113,810,0.00547,848.617867414132,,,
815,2.00992,815,0.00558,860.3723684432415,,,
820,2.00854,820,0.00569,871.9835218988254,,,
825,2.00717,825,0.0058,883.4539341004023,,,
830,2.00581,830,0.0059,893.2721280086641,,,
835,2.00445,835,0.00602,905.9826478855356,,,
840,2.00309,840,0.00613,917.0458555478777,,,
845,2.00173,845,0.00624,927.9781376757543,,,
850,2.00038,850,0.00636,940.2602012626394,,,
855,1.99903,855,0.00647,950.9288640339632,,,
860,1.99769,860,0.00659,962.9346784724065,,,
865,1.99635,865,0.00671,974.8016973682086,,,
870,1.99501,870,0.00683,986.5323137479674,,,
875,1.99367,875,0.00696,999.5650225821697,,,
880,1.99233,880,0.00708,1011.0216357916245,,,
885,1.991,885,0.00721,1023.7687246274536,,,
890,1.98967,890,0.00733,1034.9606359916038,,,
895,1.98834,895,0.00746,1047.4315618225635,,,
900,1.98701,900,0.00759,1059.763921810957,,,
905,1.98568,905,0.00772,1071.960012628208,,,
910,1.98435,910,0.00786,1085.4030003171772,,,
915,1.98303,915,0.00799,1097.325696270271,,,
920,1.9817,920,0.00813,1110.4847075515227,,,
925,1.98037,925,0.00827,1123.501459251355,,,
930,1.97905,930,0.0084,1135.0270232324413,,,
935,1.97772,935,0.00855,1149.1173128638602,,,
940,1.9764,940,0.00869,1161.7208578593745,,,
945,1.97507,945,0.00883,1174.1910320083755,,,
950,1.97375,950,0.00898,1187.8527170204777,,,
955,1.97242,955,0.00913,1201.3713477392591,,,
960,1.97109,960,0.00928,1214.7491593880534,,,
965,1.96977,965,0.00943,1227.9883408643211,,,
970,1.96844,970,0.00958,1241.0910359336171,,,
975,1.96711,975,0.00974,1255.3482029113677,,,
980,1.96578,980,0.00989,1268.1776058776757,,,
985,1.96445,985,0.01005,1282.1525347645654,,,
990,1.96312,990,0.01021,1295.9863027536078,,,
995,1.96178,995,0.01037,1309.681037898539,,,
1000,1.96045,1000,0.01053,1323.238825692021,,,
1005,1.95911,1005,0.0107,1337.9120952601306,,,
1010,1.95777,1010,0.01087,1352.4400849315268,,,
1015,1.95643,1015,0.01104,1366.8249416997562,,,
1020,1.95509,1020,0.01121,1381.068770460454,,,
1025,1.95375,1025,0.01138,1395.1736350381207,,,
1030,1.9524,1030,0.01155,1409.1415591829946,,,
1035,1.95106,1035,0.01173,1424.1886696273732,,,
1040,1.94971,1040,0.01191,1439.0910963174783,,,
1045,1.94836,1045,0.01209,1453.8509160536116,,,
1050,1.947,1050,0.01227,1468.470166077972,,,
1055,1.94564,1055,0.01245,1482.950845012054,,,
1060,1.94429,1060,0.01264,1498.4804204292448,,,
1065,1.94292,1065,0.01282,1512.6842373341276,,,
1070,1.94156,1070,0.01301,1527.929735446849,,,
1075,1.94019,1075,0.01321,1544.2023796807875,,,
1080,1.93882,1080,0.0134,1559.1607984482678,,,
1085,1.93745,1085,0.01359,1573.9813516049876,,,
1090,1.93608,1090,0.01379,1589.8188144221376,,,
1095,1.9347,1095,0.01399,1605.5116428756605,,,
1100,1.93332,1100,0.01419,1621.0618092523334,,,
1105,1.93193,1105,0.01439,1636.4712501414344,,,
1110,1.93055,1110,0.0146,1652.8739726994947,,,
1115,1.92916,1115,0.01481,1669.1295856382005,,,
1120,1.92776,1120,0.01502,1685.2400591756677,,,
1125,1.92636,1125,0.01523,1701.207328503913,,,
1130,1.92496,1130,0.01544,1717.0332945637667,,,
1135,1.92356,1135,0.01566,1733.8269940164287,,,
1140,1.92215,1140,0.01587,1749.371067104211,,,
1145,1.92074,1145,0.01609,1765.8768837121318,,,
1150,1.91933,1150,0.01632,1783.3318993594935,,,
1155,1.91791,1155,0.01654,1799.547791874465,,,
1160,1.91649,1160,0.01677,1816.7072000241665,,,
1165,1.91506,1165,0.017,1833.7193171167892,,,
1170,1.91363,1170,0.01723,1850.5860314992183,,,
1175,1.9122,1175,0.01746,1867.3091993762653,,,
1180,1.91076,1180,0.01769,1883.8906454916423,,,
1185,1.90932,1185,0.01793,1901.392617008101,,,
1190,1.90788,1190,0.01817,1918.7475131336653,,,
1195,1.90643,1195,0.01841,1935.9571800029487,,,
1200,1.90498,1200,0.01866,1954.0706305328515,,,
1205,1.90352,1205,0.0189,1970.990909638078,,,
1210,1.90206,1210,0.01915,1988.8098947518856,,,
1215,1.90059,1215,0.0194,2006.4822215519996,,,
1220,1.89913,1220,0.01966,2025.0397235926341,,,
1225,1.89765,1225,0.01991,2042.419909648091,,,
1230,1.89617,1230,0.02017,2060.6804495254028,,,
1235,1.89469,1235,0.02043,2078.793130780226,,,
1240,1.89321,1240,0.02069,2096.75974202493,,,
1245,1.89172,1245,0.02096,2115.591390176452,,,
1250,1.89022,1250,0.02123,2134.272385142762,,,
1255,1.88872,1255,0.0215,2152.8045275595396,,,
1260,1.88722,1260,0.02177,2171.1895894809463,,,
1265,1.88571,1265,0.02204,2189.4293149444757,,,
1270,1.88419,1270,0.02232,2208.5148985235965,,,
1275,1.88268,1275,0.0226,2227.4507912511162,,,
1280,1.88115,1280,0.02288,2246.2387473167023,,,
1285,1.87963,1285,0.02317,2265.8584212817273,,,
1290,1.87809,1290,0.02346,2285.326004750901,,,
1295,1.87656,1295,0.02375,2304.6432593901955,,,
1300,1.87502,1300,0.02404,2323.811919763035,,,
1305,1.87347,1305,0.02434,2343.796634126454,,,
1310,1.87192,1310,0.02464,2363.628793418397,,,
1315,1.87036,1315,0.02494,2383.3101378107813,,,
1320,1.8688,1320,0.02524,2402.8423811092844,,,
1325,1.86724,1325,0.02555,2423.1756165802026,,,
1330,1.86567,1330,0.02585,2442.4111306855984,,,
1335,1.86409,1335,0.02617,2463.385160882244,,,
1340,1.86251,1340,0.02648,2483.264879613663,,,
1345,1.86092,1345,0.0268,2503.9310963927574,,,
1350,1.85934,1350,0.02712,2524.444230084598,,,
1355,1.85774,1355,0.02744,2544.8059753359094,,,
1360,1.85614,1360,0.02776,2565.018001872137,,,
1365,1.85453,1365,0.02809,2586.0025681857082,,,
1370,1.85292,1370,0.02842,2606.833962482392,,,
1375,1.85131,1375,0.02876,2628.427773592508,,,
1380,1.84968,1380,0.02909,2648.9545012442636,,,
1385,1.84806,1385,0.02943,2670.2403406540825,,,
1390,1.84642,1390,0.02977,2691.3730445285796,,,
1395,1.84479,1395,0.03012,2713.2550745842173,,,
1400,1.84314,1400,0.03047,2734.9808044251713,,,
1405,1.8415,1405,0.03082,2756.5519027370087,,,
1410,1.83984,1410,0.03117,2777.970014535996,,,
1415,1.83818,1415,0.03153,2800.124844316217,,,
1420,1.83652,1420,0.03189,2822.1236541684093,,,
1425,1.83485,1425,0.03225,2843.968086407602,,,
1430,1.83318,1430,0.03262,2866.5385275552185,,,
1435,1.8315,1435,0.03299,2888.9516833986695,,,
1440,1.82981,1440,0.03336,2911.2091923265416,,,
1445,1.82812,1445,0.03374,2934.182315075976,,,
1450,1.82642,1450,0.03411,2956.130356246837,,,
1455,1.82472,1455,0.0345,2979.654887940835,,,
1460,1.82301,1460,0.03488,3002.1575823893695,,,
1465,1.8213,1465,0.03527,3025.3644475661986,,,
1470,1.81957,1470,0.03566,3048.4134429118917,,,
1475,1.81785,1475,0.03605,3071.306173882361,,,
1480,1.81612,1480,0.03645,3094.893303333729,,,
1485,1.81438,1485,0.03685,3118.3215968965355,,,
1490,1.81264,1490,0.03726,3142.4360341679385,,,
1495,1.81089,1495,0.03766,3165.5486109482704,,,
1500,1.80914,1500,0.03807,3189.344861924358,,,
1505,1.80738,1505,0.03849,3213.817973067672,,,
1510,1.80561,1510,0.03891,3238.1290106272545,,,
1515,1.80384,1515,0.03933,3262.279579292054,,,
1520,1.80206,1520,0.03975,3286.271262636692,,,
1525,1.80028,1525,0.04018,3310.9296477701746,,,
1530,1.79849,1530,0.04061,3335.4268669877515,,,
1535,1.79669,1535,0.04104,3359.7644952006544,,,
1540,1.79489,1540,0.04148,3384.7600849585615,,,
1545,1.79309,1545,0.04192,3409.5938909639904,,,
1550,1.79127,1550,0.04237,3435.0782124541815,,,
1555,1.78945,1555,0.04281,3459.5905209049274,,,
1560,1.78763,1560,0.04327,3485.5567723289837,,,
1565,1.7858,1565,0.04372,3510.554142235036,,,
1570,1.78396,1570,0.04418,3536.192698996103,,,
1575,1.78212,1575,0.04465,3562.4663360707123,,,
1580,1.78027,1580,0.04511,3587.7783443907742,,,
1585,1.77841,1585,0.04558,3613.723486451048,,,
1590,1.77655,1590,0.04606,3640.29578929172,,,
1595,1.77468,1595,0.04653,3665.913634395814,,,
1600,1.77281,1600,0.04702,3692.9421642948023,,,
1605,1.77093,1605,0.0475,3719.019340698197,,,
1610,1.76904,1610,0.04799,3745.715066975756,,,
1615,1.76715,1615,0.04848,3772.245494638593,,,
1620,1.76525,1620,0.04898,3799.3878561192123,,,
1625,1.76334,1625,0.04948,3826.3631876830273,,,
1630,1.76143,1630,0.04999,3853.943969397638,,,
1635,1.75951,1635,0.05049,3880.587475957154,,,
1640,1.75759,1640,0.05101,3908.601006332082,,,
1645,1.75566,1645,0.05152,3935.6803285822775,,,
1650,1.75372,1650,0.05204,3963.3571319469784,,,
1655,1.75178,1655,0.05257,3991.626001189497,,,
1660,1.74983,1660,0.0531,4019.7245760389887,,,
1665,1.74787,1665,0.05363,4047.6543906791735,,,
1670,1.74591,1670,0.05417,4076.1694382026135,,,
1675,1.74394,1675,0.05471,4104.5142466363595,,,
1680,1.74196,1680,0.05525,4132.690335972287,,,
1685,1.73998,1685,0.0558,4161.444986832296,,,
1690,1.73799,1690,0.05636,4190.773064054929,,,
1695,1.73599,1695,0.05692,4219.928114273299,,,
1700,1.73399,1700,0.05748,4248.911664196266,,,
1705,1.73198,1705,0.05804,4277.725222624084,,,
1710,1.72997,1710,0.05861,4307.1051561847435,,,
1715,1.72795,1715,0.05919,4337.0465111598805,,,
1720,1.72592,1720,0.05977,4366.813788489812,,,
1725,1.72388,1725,0.06035,4396.408501893195,,,
1730,1.72184,1730,0.06094,4426.55852739334,,,
1735,1.71979,1735,0.06153,4456.534777530374,,,
1740,1.71773,1740,0.06213,4487.06095557549,,,
1745,1.71567,1745,0.06273,4517.4121985028705,,,
1750,1.7136,1750,0.06334,4548.3080840772,,,
1755,1.71153,1755,0.06395,4579.027924719483,,,
1760,1.70944,1760,0.06457,4610.2872191430215,,,
1765,1.70735,1765,0.06519,4641.369407082575,,,
1770,1.70526,1770,0.06582,4672.985953882038,,,
1775,1.70315,1775,0.06645,4704.424379291081,,,
1780,1.70104,1780,0.06708,4735.686184332659,,,
1785,1.69893,1785,0.06772,4767.476851565284,,,
1790,1.6968,1790,0.06836,4799.089917304989,,,
1795,1.69467,1795,0.06902,4831.927018401505,,,
1800,1.69253,1800,0.06967,4863.883559457798,,,
1805,1.69039,1805,0.07033,4896.359253783272,,,
1810,1.68824,1810,0.07099,4928.655524383192,,,
1815,1.68608,1815,0.07166,4961.466216115583,,,
1820,1.68391,1820,0.07234,4994.787089245839,,,
1825,1.68174,1825,0.07302,5027.925382249352,,,
1830,1.67956,1830,0.0737,5060.882591684542,,,
1835,1.67737,1835,0.07439,5094.345013635852,,,
1840,1.67518,1840,0.07509,5128.30852952299,,,
1845,1.67298,1845,0.07579,5162.08796131318,,,
1850,1.67077,1850,0.07649,5195.684801580179,,,
