"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Reference text,Details
1033.2,2.08207,1033.2,0.00288175,350.4949527480599,,,
1078.12,2.07991,1078.12,0.00264435,308.22062603495607,,,
1127.13,2.07798,1127.13,0.00240618,268.26497072084635,,,
1180.8,2.07606,1180.8,0.00240841,256.3090502314429,,,
1239.84,2.07437,1239.84,0.00216933,219.8719573884355,,,
1305.1,2.07268,1305.1,0.0021711,209.04794453172323,,,
1377.6,2.07099,1377.6,0.00193144,176.18460263790567,,,
1458.64,2.06954,1458.64,0.00193279,166.51233655821358,,,
1549.8,2.06809,1549.8,0.00169238,137.22463737468823,,,
1653.12,2.06688,1653.12,0.00169337,128.7233534603501,,,
1771.2,2.06567,1771.2,0.00145231,103.03898886032053,,,
1907.45,2.06446,1907.45,0.00145316,95.7348665598688,,,
2066.4,2.06349,2066.4,0.00121154,73.67721958052998,,,
2254.26,2.06252,2254.26,0.00121211,67.56906250996289,,,
2479.68,2.0618,2479.68,0.000970028,49.15848558808233,,,
2755.2,2.06083,2755.2,0.000970485,44.26348063906926,,,
3099.6,2.06034,3099.6,0.000728035,29.515929894905735,,,
3542.41,2.05961,3542.41,0.000728293,25.835518062120098,,,
4132.81,2.05913,4132.81,0.000728464,22.14993818544414,,,
4959.37,2.05864,4959.37,0.000485757,12.308423228190817,,,
6199.21,2.0584,6199.21,0.000485815,9.847918267029028,,,
8265.61,2.05791,8265.61,0.000242965,3.6938450233168223,,,
12398.4,2.05791,12398.4,0.000242965,2.4625663281695838,,,
24796.8,2.05767,24796.8,0,0,,,
