"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Reference text,Details
800,1.864114,800,0.000519,81.52432936065514,,,
805,1.863343,805,0.000529,82.57900689436028,,,
810,1.862585,810,0.000539,83.62066371777277,,,
815,1.861839,815,0.000549,84.64953947586731,,,
820,1.861106,820,0.000559,85.66586796861925,,,
825,1.860386,825,0.00057,86.8221969719361,,,
830,1.859677,830,0.000581,87.96459430051422,,,
835,1.858979,835,0.000591,88.94281476750027,,,
840,1.858293,840,0.000602,90.05898940290741,,,
845,1.857618,845,0.000613,91.16195487103164,,,
850,1.856952,850,0.000624,92.25194427482498,,,
855,1.856297,855,0.000636,93.47616035944368,,,
860,1.855653,860,0.000647,94.54002078477193,,,
865,1.855017,865,0.000658,95.59158224564548,,,
870,1.854391,870,0.00067,96.77549783472006,,,
875,1.853775,875,0.000682,97.9458829599195,,,
880,1.853167,880,0.000694,99.10296825415075,,,
885,1.852567,885,0.000706,100.24697913827771,,,
890,1.851977,890,0.000718,101.37813596752682,,,
895,1.851394,895,0.000731,102.63706054856488,,,
900,1.85082,900,0.000743,103.74237073854296,,,
905,1.850253,905,0.000756,104.97432248017167,,,
910,1.849694,910,0.000768,106.0546443058005,,,
915,1.849142,915,0.000781,107.2604967192843,,,
920,1.848598,920,0.000794,108.4532420413172,,,
925,1.84806,925,0.000808,109.7689454746185,,,
930,1.84753,930,0.000821,110.9353792945041,,,
935,1.847005,935,0.000834,112.08933788636952,,,
940,1.846488,940,0.000848,113.36470511677211,,,
945,1.845977,945,0.000862,114.62657639764664,,,
950,1.845471,950,0.000876,115.87516482293302,,,
955,1.844973,955,0.00089,117.11067902387083,,,
960,1.84448,960,0.000904,118.33332328521554,,,
965,1.843992,965,0.000918,119.54329765784165,,,
970,1.84351,970,0.000933,120.87034828038254,,,
975,1.843034,975,0.000948,122.18378812730765,,,
980,1.842563,980,0.000962,123.35559725524004,,,
985,1.842097,985,0.000977,124.64308721044581,,,
990,1.841636,990,0.000993,126.04450525311776,,,
995,1.84118,995,0.001008,127.30554351029194,,,
1000,1.840728,1000,0.001023,128.55397138489437,,,
1005,1.840282,1005,0.001039,129.915015605166,,,
1010,1.83984,1010,0.001055,131.26258414008836,,,
1015,1.839403,1015,0.001071,132.59687613772093,,,
1020,1.83897,1020,0.001087,133.91808684125903,,,
1025,1.838541,1025,0.001103,135.2264076842748,,,
1030,1.838116,1030,0.001119,136.52202638318363,,,
1035,1.837696,1035,0.001136,137.92654123586496,,,
1040,1.837279,1040,0.001153,139.31755113803968,,,
1045,1.836866,1045,0.001169,140.57499759029542,,,
1050,1.836457,1050,0.001186,141.9401480821903,,,
1055,1.836052,1055,0.001204,143.41147127666773,,,
1060,1.835651,1060,0.001221,144.7503633974769,,,
1065,1.835252,1065,0.001239,146.19467785155882,,,
1070,1.834858,1070,0.001256,147.5080513236927,,,
1075,1.834466,1075,0.001274,148.9261038390101,,,
1080,1.834078,1080,0.001292,150.3310262384449,,,
1085,1.833693,1085,0.00131,151.72300004433654,,,
1090,1.833312,1090,0.001329,153.21749125214075,,,
1095,1.832933,1095,0.001347,154.58357276293887,,,
1100,1.832557,1100,0.001366,156.0514750837694,,,
1105,1.832185,1105,0.001385,157.50609322070093,,,
1110,1.831815,1110,0.001404,158.94760668973223,,,
1115,1.831448,1115,0.001423,160.37619178684398,,,
1120,1.831084,1120,0.001443,161.90422139750257,,,
1125,1.830722,1125,0.001462,163.30696745060544,,,
1130,1.830363,1130,0.001482,164.80850664141855,,,
1135,1.830007,1135,0.001502,166.29681641204826,,,
1140,1.829653,1140,0.001522,167.77207083381282,,,
1145,1.829301,1145,0.001542,169.23444093748336,,,
1150,1.828952,1150,0.001563,170.7933675673338,,,
1155,1.828605,1155,0.001583,172.22999725134693,,,
1160,1.82826,1160,0.001604,173.76257297786304,,,
1165,1.827918,1165,0.001625,175.28199354792838,,,
1170,1.827577,1170,0.001646,176.78842761739483,,,
1175,1.827239,1175,0.001668,178.38898880639235,,,
1180,1.826903,1180,0.001689,179.8694912512936,,,
1185,1.826569,1185,0.001711,181.44354532631687,,,
1190,1.826237,1190,0.001733,183.00437205617183,,,
1195,1.825907,1195,0.001755,184.5521374744799,,,
1200,1.825579,1200,0.001777,186.08700484763543,,,
1205,1.825253,1205,0.0018,187.71341996553122,,,
1210,1.824928,1210,0.001822,189.22253933357368,,,
1215,1.824605,1215,0.001845,190.82266488471336,,,
1220,1.824284,1220,0.001868,192.40967465264703,,,
1225,1.823965,1225,0.001891,193.98372923880163,,,
