"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Reference text,Details
1135,1.918372,1135,0,0,,,
1140,1.918128,1140,0,0,,,
1145,1.917888,1145,0,0,,,
1150,1.917651,1150,0,0,,,
1155,1.917417,1155,0,0,,,
1160,1.917186,1160,0,0,,,
1165,1.916958,1165,0,0,,,
1170,1.916734,1170,0,0,,,
1175,1.916512,1175,0,0,,,
1180,1.916293,1180,0,0,,,
1185,1.916078,1185,0,0,,,
1190,1.915865,1190,0,0,,,
1195,1.915655,1195,0,0,,,
1200,1.915447,1200,0,0,,,
1205,1.915243,1205,0,0,,,
1210,1.915041,1210,0,0,,,
1215,1.914841,1215,0,0,,,
1220,1.914644,1220,0,0,,,
1225,1.91445,1225,0,0,,,
1230,1.914258,1230,0,0,,,
1235,1.914069,1235,0,0,,,
1240,1.913881,1240,0,0,,,
1245,1.913697,1245,0,0,,,
1250,1.913514,1250,0,0,,,
1255,1.913334,1255,0,0,,,
1260,1.913156,1260,0,0,,,
1265,1.91298,1265,0,0,,,
1270,1.912807,1270,0,0,,,
1275,1.912635,1275,0,0,,,
1280,1.912466,1280,0,0,,,
1285,1.912299,1285,0,0,,,
1290,1.912134,1290,0,0,,,
1295,1.91197,1295,0,0,,,
1300,1.911808,1300,0,0,,,
1305,1.911649,1305,0,0,,,
1310,1.911492,1310,0,0,,,
1315,1.911336,1315,0,0,,,
1320,1.911182,1320,0,0,,,
1325,1.91103,1325,0,0,,,
1330,1.91088,1330,0,0,,,
1335,1.910731,1335,0,0,,,
1340,1.910584,1340,0,0,,,
1345,1.910439,1345,0,0,,,
1350,1.910296,1350,0,0,,,
1355,1.910154,1355,0,0,,,
1360,1.910014,1360,0,0,,,
1365,1.909875,1365,0,0,,,
1370,1.909738,1370,0,0,,,
1375,1.909603,1375,0,0,,,
1380,1.909469,1380,0,0,,,
1385,1.909336,1385,0,0,,,
1390,1.909205,1390,0,0,,,
1395,1.909076,1395,0,0,,,
1400,1.908948,1400,0,0,,,
1405,1.908821,1405,0,0,,,
1410,1.908695,1410,0,0,,,
1415,1.908572,1415,0,0,,,
1420,1.908449,1420,0,0,,,
1425,1.908328,1425,0,0,,,
1430,1.908208,1430,0,0,,,
1435,1.908089,1435,0,0,,,
1440,1.907972,1440,0,0,,,
1445,1.907856,1445,0,0,,,
1450,1.90774,1450,0,0,,,
1455,1.907627,1455,0,0,,,
1460,1.907514,1460,0,0,,,
1465,1.907403,1465,0,0,,,
1470,1.907293,1470,0,0,,,
1475,1.907184,1475,0,0,,,
1480,1.907076,1480,0,0,,,
1485,1.90697,1485,0,0,,,
1490,1.906864,1490,0,0,,,
1495,1.906759,1495,0,0,,,
1500,1.906656,1500,0,0,,,
1505,1.906553,1505,0,0,,,
1510,1.906452,1510,0,0,,,
1515,1.906352,1515,0,0,,,
1520,1.906253,1520,0,0,,,
1525,1.906154,1525,0,0,,,
1530,1.906057,1530,0,0,,,
1535,1.90596,1535,0,0,,,
1540,1.905865,1540,0,0,,,
